iter	Logloss
0	0.6793459586
1	0.6664171034
2	0.6543517765
3	0.6446135448
4	0.6334333878
5	0.623520019
6	0.6139311765
7	0.6060086576
8	0.5976356087
9	0.5900786936
10	0.582830764
11	0.5763405784
12	0.5698063636
13	0.5639651687
14	0.5571901332
15	0.5516879963
16	0.5460171024
17	0.540287984
18	0.534340711
19	0.5293068352
20	0.5241110565
21	0.5188701945
22	0.5148145528
23	0.5095813947
24	0.5064631968
25	0.5018087174
26	0.4982027425
27	0.4947998127
28	0.4915186597
29	0.4884805374
30	0.4849929559
31	0.4816775786
32	0.4783877329
33	0.4746703947
34	0.4721272302
35	0.4693176001
36	0.4671666058
37	0.4646330032
38	0.4620166048
39	0.4599307801
40	0.457695636
41	0.4553754546
42	0.4533066029
43	0.4517013794
44	0.4491544191
45	0.4470471072
46	0.4449895229
47	0.4431221884
48	0.4409970163
49	0.4390602898
50	0.4372016416
51	0.4354849164
52	0.4336570392
53	0.4316123375
54	0.4301807723
55	0.4290134147
56	0.4271816978
57	0.4254076994
58	0.4241867739
59	0.422508247
60	0.4205821403
61	0.4195996649
62	0.4183877593
63	0.4168768044
64	0.4156544892
65	0.4138473722
66	0.4126296883
67	0.4109312797
68	0.4091743845
69	0.4078342208
70	0.4067579776
71	0.4058869099
72	0.4042660232
73	0.4034332381
74	0.4022594656
75	0.4012663234
76	0.3994980559
77	0.3982822749
78	0.3971614363
79	0.3962643842
80	0.394903066
81	0.3939175968
82	0.3929722014
83	0.3924108854
84	0.3914501696
85	0.3904184863
86	0.3895668479
87	0.3887746713
88	0.3882847494
89	0.3874745607
90	0.3863099174
91	0.3852617018
92	0.3848028528
93	0.3836063121
94	0.3829957995
95	0.3821945144
96	0.3814369089
97	0.3807846759
98	0.3800897866
99	0.3793897484
100	0.3787341286
101	0.3775804609
102	0.376917189
103	0.3756042876
104	0.3747309904
105	0.3740151199
106	0.373548062
107	0.3732033101
108	0.3725972734
109	0.371469966
110	0.3709986908
111	0.3701577172
112	0.3691340772
113	0.3684846074
114	0.3675659611
115	0.367201986
116	0.3658708577
117	0.3653658479
118	0.3646385661
119	0.3639446084
120	0.3632223775
121	0.3629334988
122	0.3623864651
123	0.3617995855
124	0.3614768689
125	0.3611022882
126	0.3607342269
127	0.3603079478
128	0.3597348981
129	0.3593751963
130	0.358568034
131	0.358042553
132	0.3574249604
133	0.3568907881
134	0.3564199033
135	0.3562062203
136	0.3558834904
137	0.3553944683
138	0.354767666
139	0.3543744524
140	0.3541890497
141	0.3538393787
142	0.353385259
143	0.3530041619
144	0.3527560357
145	0.3523947499
146	0.3520659953
147	0.3518109809
148	0.3512758443
149	0.3507544431
150	0.3498751575
151	0.3494826615
152	0.3490480667
153	0.3486517823
154	0.3481450908
155	0.3478508845
156	0.3471497187
157	0.3467224482
158	0.3464800975
159	0.3461997138
160	0.345890616
161	0.3455417175
162	0.3452788624
163	0.3445523927
164	0.3442762471
165	0.3438521344
166	0.3436307703
167	0.3433434173
168	0.3426304634
169	0.3422542985
170	0.341954167
171	0.3417141841
172	0.3414367628
173	0.3411189379
174	0.3408520905
175	0.3405634745
176	0.3403599654
177	0.3400750223
178	0.339834215
179	0.3394471569
180	0.3391190869
181	0.3385818366
182	0.3383028062
183	0.3380396171
184	0.3377365875
185	0.3375377376
186	0.3370983232
187	0.3368894256
188	0.336500366
189	0.3362923731
190	0.3360719033
191	0.3357093342
192	0.3354702924
193	0.3353207234
194	0.3350618929
195	0.3348514209
196	0.334617176
197	0.3344796403
198	0.3342214461
199	0.3337554805
200	0.333635528
201	0.333396508
202	0.3332079921
203	0.3330131893
204	0.3327772949
205	0.3324791801
206	0.332296405
207	0.3321101819
208	0.3318956267
209	0.3315459531
210	0.33133352
211	0.3311702613
212	0.3309512806
213	0.3307255248
214	0.3305694768
215	0.330388749
216	0.3302528912
217	0.3301326921
218	0.3299079473
219	0.3297314294
220	0.3294495492
221	0.329268247
222	0.3290694276
223	0.3288724197
224	0.3286194329
225	0.3285012156
226	0.3283144827
227	0.3280961578
228	0.3279900169
229	0.3278912846
230	0.3276446869
231	0.3274426096
