iter	Passed	Remaining
0	54	54390
1	57	28545
2	60	20003
3	63	15706
4	66	13146
5	69	11496
6	72	10219
7	75	9319
8	78	8613
9	81	8063
10	84	7568
11	87	7187
12	90	6853
13	93	6574
14	96	6327
15	99	6105
16	102	5921
17	105	5742
18	108	5590
19	111	5441
20	114	5320
21	117	5201
22	120	5097
23	123	5014
24	126	4946
25	130	4901
26	135	4879
27	139	4850
28	143	4814
29	147	4762
30	150	4712
31	154	4663
32	157	4627
33	160	4572
34	164	4531
35	167	4492
36	171	4457
37	175	4431
38	178	4402
39	182	4379
40	186	4353
41	189	4322
42	192	4289
43	196	4259
44	199	4229
45	202	4204
46	205	4174
47	209	4147
48	212	4120
49	215	4095
50	218	4074
51	222	4052
52	225	4032
53	229	4011
54	232	3997
55	236	3978
56	239	3961
57	242	3943
58	245	3922
59	249	3912
60	252	3891
61	256	3875
62	259	3863
63	264	3864
64	268	3865
65	273	3871
66	277	3871
67	281	3862
68	285	3857
69	289	3852
70	293	3839
71	297	3830
72	300	3819
73	304	3809
74	307	3797
75	311	3788
76	315	3776
77	318	3768
78	322	3758
79	325	3747
80	329	3736
81	332	3725
82	335	3710
83	339	3699
84	342	3686
85	346	3678
86	349	3666
87	352	3656
88	356	3645
89	359	3635
90	362	3623
91	366	3616
92	369	3603
93	372	3592
94	375	3579
95	379	3571
96	382	3560
97	385	3552
98	389	3541
99	392	3535
100	396	3528
101	399	3521
102	403	3511
103	406	3504
104	410	3494
105	413	3489
106	417	3484
107	421	3482
108	425	3475
109	428	3470
110	432	3466
111	436	3462
112	440	3458
113	444	3454
114	448	3453
115	453	3453
116	457	3453
117	461	3451
118	465	3446
119	469	3441
120	472	3435
121	476	3428
122	480	3424
123	484	3420
124	488	3417
125	492	3413
126	496	3411
127	500	3406
128	503	3400
129	507	3395
130	510	3389
131	514	3384
132	518	3378
133	521	3373
134	525	3368
135	529	3365
136	533	3360
137	537	3354
138	540	3350
139	544	3345
140	548	3342
141	552	3335
142	555	3331
143	559	3325
144	563	3321
145	566	3315
146	570	3311
147	574	3306
148	578	3302
149	582	3299
150	585	3294
151	589	3291
152	593	3286
153	597	3282
154	601	3278
155	605	3273
156	608	3269
157	612	3263
158	616	3258
159	619	3251
160	622	3244
161	625	3237
162	629	3234
163	633	3228
164	637	3227
165	641	3224
166	645	3219
167	648	3212
168	651	3205
169	655	3198
170	658	3191
171	661	3183
172	664	3177
173	667	3170
174	671	3164
175	674	3157
176	677	3151
177	681	3145
178	684	3139
179	687	3132
180	691	3127
181	694	3120
182	697	3114
183	701	3109
