iter	Passed	Remaining
0	29	20364
1	61	21314
2	86	20178
3	113	19802
4	141	19689
5	166	19216
6	192	19014
7	212	18362
8	241	18529
9	272	18814
10	303	18983
11	330	18954
12	359	18990
13	388	19053
14	416	19007
15	444	18999
16	468	18835
17	499	18908
18	526	18864
19	552	18795
20	580	18772
21	609	18769
22	636	18728
23	667	18789
24	696	18809
25	726	18821
26	756	18853
27	787	18906
28	819	18960
29	849	18982
30	879	18984
31	900	18807
32	912	18439
33	942	18466
34	970	18443
35	1001	18473
36	1035	18549
37	1066	18573
38	1097	18609
39	1126	18581
40	1156	18585
41	1186	18583
42	1215	18577
43	1248	18614
44	1277	18596
45	1309	18615
46	1339	18611
47	1368	18585
48	1398	18584
49	1429	18585
50	1458	18558
51	1488	18549
52	1518	18542
53	1535	18364
54	1580	18532
55	1612	18547
56	1640	18508
57	1669	18484
58	1699	18468
59	1728	18437
60	1761	18448
61	1791	18439
62	1803	18238
63	1833	18221
64	1861	18187
65	1891	18174
66	1923	18168
67	1951	18133
68	1983	18137
69	2014	18131
70	2044	18113
71	2073	18088
72	2084	17908
73	2115	17899
74	2144	17870
75	2174	17850
76	2207	17857
77	2237	17841
78	2265	17812
79	2295	17793
80	2325	17770
81	2354	17748
82	2385	17735
83	2436	17864
84	2476	17921
85	2509	17918
86	2537	17882
87	2568	17863
88	2589	17779
89	2621	17766
90	2651	17741
91	2681	17719
92	2710	17688
93	2740	17668
94	2771	17652
95	2802	17633
96	2832	17610
97	2862	17582
98	2891	17555
99	2921	17531
100	2952	17507
101	2983	17489
102	3014	17471
103	3043	17443
104	3073	17414
105	3098	17362
106	3130	17346
107	3161	17330
108	3191	17304
109	3222	17282
110	3251	17250
111	3282	17231
112	3314	17216
113	3326	17099
114	3356	17072
115	3385	17041
116	3415	17016
117	3447	17002
118	3477	16979
119	3508	16955
120	3540	16939
121	3569	16913
122	3598	16881
123	3629	16858
124	3652	16800
125	3682	16776
126	3713	16754
127	3747	16744
128	3776	16714
129	3806	16691
130	3835	16660
131	3868	16644
132	3874	16519
133	3905	16494
134	3935	16471
135	3967	16451
136	3998	16430
137	4019	16367
138	4049	16344
139	4079	16318
140	4110	16297
141	4127	16220
142	4158	16197
143	4189	16176
144	4219	16150
145	4231	16056
146	4243	15962
147	4272	15935
148	4301	15907
149	4331	15882
150	4362	15860
151	4391	15831
152	4425	15822
153	4457	15803
154	4488	15780
155	4518	15755
156	4546	15724
157	4576	15700
158	4607	15677
159	4638	15653
160	4669	15634
161	4701	15612
162	4733	15592
163	4766	15576
164	4795	15548
165	4824	15518
166	4854	15492
167	4884	15469
