iter	Logloss
0	0.6168543879
1	0.5710005541
2	0.533921269
3	0.5152439801
4	0.5003193062
5	0.4902142266
6	0.4806177537
7	0.4733949258
8	0.4620410593
9	0.4576033108
10	0.4478579817
11	0.4387263966
12	0.4317320155
13	0.4224054365
14	0.419037352
15	0.4123230128
16	0.4096160785
17	0.4079694273
18	0.4041899086
19	0.401818771
20	0.3979286279
21	0.3910801234
22	0.3889422115
23	0.3874554199
24	0.3863237767
25	0.3826081842
26	0.3815268382
27	0.3789617097
28	0.3779020462
29	0.377314203
30	0.3764154905
31	0.3758472057
32	0.3718278239
33	0.3693721102
34	0.3668214071
35	0.3653916976
36	0.3615240629
37	0.3609979629
38	0.3577446622
39	0.35724877
40	0.3568039125
41	0.3549869587
42	0.3544790896
43	0.3538672925
44	0.3518400639
45	0.3510507664
46	0.3505187959
47	0.3473786861
48	0.3470361045
49	0.3435183083
50	0.3420118993
51	0.3407040242
52	0.3367129326
53	0.3350779338
54	0.3346689186
55	0.3342578975
56	0.3335806993
57	0.3331209149
58	0.3327266791
59	0.3300389492
60	0.3296848332
61	0.3294752074
62	0.3288649148
63	0.3285426291
64	0.3279460245
65	0.3272990637
66	0.3269252418
67	0.3257852207
68	0.3253626651
69	0.3248667434
70	0.3245050164
71	0.3228479812
72	0.3225507114
73	0.3216187526
74	0.3205550476
75	0.319243839
76	0.3188310183
77	0.318184736
78	0.3178084951
79	0.3174961509
80	0.3171488788
81	0.3165644281
82	0.3156183094
83	0.3143157738
84	0.3141549997
85	0.3139418929
86	0.313570313
87	0.3133251989
88	0.3130480479
89	0.31294117
90	0.312669093
91	0.311249089
92	0.3109770416
93	0.310715791
94	0.3100911616
95	0.3091625068
96	0.3089986647
97	0.308773994
98	0.3085273459
99	0.308152108
