iter	Passed	Remaining
0	5	550
1	8	410
2	10	339
3	12	309
4	14	283
5	17	268
6	19	258
7	21	246
8	23	237
9	25	228
10	27	220
11	29	217
12	31	210
13	33	203
14	35	200
15	37	194
16	38	189
17	40	186
18	42	181
19	44	179
20	46	176
21	48	173
22	50	169
23	52	166
24	54	163
25	56	159
26	57	156
27	60	154
28	61	151
29	63	148
30	65	145
31	67	142
32	69	140
33	71	138
34	73	136
35	75	134
36	77	132
37	80	130
38	82	128
39	83	125
40	85	122
41	87	120
42	89	118
43	91	116
44	94	115
45	96	112
46	98	110
47	100	108
48	101	105
49	103	103
50	106	101
51	108	99
52	110	97
53	111	95
54	113	92
55	115	90
56	117	88
57	119	86
58	121	84
59	123	82
60	125	80
61	127	78
62	129	75
63	131	73
64	133	71
65	135	69
66	137	67
67	139	65
68	141	63
69	143	61
70	145	59
71	146	57
72	148	55
73	150	52
74	152	50
75	155	49
76	157	46
77	158	44
78	160	42
79	162	40
80	164	38
81	166	36
82	168	34
83	169	32
84	171	30
85	173	28
86	175	26
87	177	24
88	179	22
89	181	20
90	183	18
91	185	16
92	187	14
93	188	12
94	190	10
95	192	8
96	194	6
97	196	4
98	198	2
99	200	0
